route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
4,9914:5-7-127,STAN-S1-0_53542633,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553593,"Essey Mouzimpré",,0,119,9914$STAN-61$1,,
4,9914:5-7-127,STAN-S1-0_53542634,"Houd. Porte Sud",,0,409,9914$STAN-67$23,,
4,9914:5-7-127,STAN-S1-0_53542635,"Houd. Porte Sud",,0,411,9914$STAN-67$23,,
4,9914:5-7-127,STAN-S1-0_53542636,"Houd. Porte Sud",,0,413,9914$STAN-67$23,,
4,9914:5-7-127,STAN-S1-0_53542637,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
4,9914:5-7-127,STAN-S1-0_53542638,"Houd. Porte Sud",,0,412,9914$STAN-67$23,,
4,9914:5-7-127,STAN-S1-0_53542639,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:5-7-127,STAN-S1-0_53542726,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544576,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544577,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544578,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553594,"Essey Mouzimpré",,0,108,9914$STAN-61$1,,
4,9914:7-7-127,STAN-S1-2_73544579,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544580,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544581,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544582,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544583,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544584,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544585,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544586,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544587,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544588,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553595,"Essey Mouzimpré",,0,120,9914$STAN-61$1,,
4,9914:7-7-127,STAN-S1-2_73544589,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544590,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544591,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544592,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544593,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544594,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544595,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544596,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544597,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544598,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553596,"Essey Mouzimpré",,0,101,9914$STAN-61$1,,
4,9914:7-7-127,STAN-S1-2_73544599,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544600,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544601,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544602,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544603,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544604,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544605,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544606,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544607,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544608,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553597,"Essey Mouzimpré",,0,109,9914$STAN-61$1,,
4,9914:7-7-127,STAN-S1-2_73544609,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:7-7-127,STAN-S1-2_73544610,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543756,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543757,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543758,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543759,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543760,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543761,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543762,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543763,"Houd. Porte Sud",,0,406,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553598,"Essey Mouzimpré",,0,110,9914$STAN-61$1,,
4,9914:8-7-32,STAN-S1-3_63543764,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543765,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543766,"Houd. Porte Sud",,0,407,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543767,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543768,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543769,"Houd. Porte Sud",,0,409,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543770,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543771,"Houd. Porte Sud",,0,406,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543772,"Houd. Porte Sud",,0,408,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543773,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
1,9914:1-7-127,STAN-S1-0_13553602,"Essey Mouzimpré",,0,112,9914$STAN-61$1,,
1,9914:5-7-127,STAN-S1-0_53553599,"Essey Mouzimpré",,0,121,9914$STAN-61$1,,
4,9914:8-7-32,STAN-S1-3_63543774,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543775,"Houd. Porte Sud",,0,407,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543776,"Houd. Porte Sud",,0,405,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543777,"Houd. Porte Sud",,0,401,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543778,"Houd. Porte Sud",,0,409,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543779,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543780,"Houd. Porte Sud",,0,406,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543781,"Houd. Porte Sud",,0,408,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543782,"Houd. Porte Sud",,0,402,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543783,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553600,"Essey Mouzimpré",,0,102,9914$STAN-61$1,,
4,9914:8-7-32,STAN-S1-3_63543784,"Houd. Porte Sud",,0,407,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543785,"Houd. Porte Sud",,0,413,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543786,"Houd. Porte Sud",,0,410,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543787,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543788,"Houd. Porte Sud",,0,406,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543789,"Houd. Porte Sud",,0,411,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543790,"Houd. Porte Sud",,0,404,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543791,"Houd. Porte Sud",,0,413,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543792,"Houd. Porte Sud",,0,403,9914$STAN-67$23,,
4,9914:8-7-32,STAN-S1-3_63543793,"Houd. Porte Sud",,0,406,9914$STAN-67$23,,
1,9914:5-7-127,STAN-S1-0_53553601,"Essey Mouzimpré",,0,111,9914$STAN-61$1,,
